,store,county,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
2170175,010218,SIOUX,-1.6809076938033425,0.7539656563732827,7,0.009435681175714972
2190283,010280,CERRO GORDO,-1.6297610884005678,0.7529860726329624,9,0.019074118463027968
2223014,010284,BLACK HAWK,-1.6107979118588835,0.7413827396536422,65,0.024053987314385065
2224987,010290,BLACK HAWK,-1.6117445617598176,0.7415616011350129,74,0.0
2240027,010292,BLACK HAWK,-1.6136730271710398,0.7428316422378378,26,0.03462148720014914
2267334,010298,LUCAS,-1.628855559661088,0.7158310321030761,7,0.16880420031166674
2273566,010302,SIOUX,-1.678561629047049,0.7520769129279599,6,0.454445614845668
2276483,010283,WOODBURY,-1.6820736330848691,0.7422352807555369,37,0.3378032499495774
2288626,010296,WAPELLO,-1.6130368728624722,0.7157243056556489,21,0.04986011438068815
2311711,010303,WINNESHIEK,-1.602166439170968,0.7558586578285685,9,0.020404527647677022
2312345,010297,SCOTT,-1.5812913749836153,0.7247818488361464,71,0.01181653973642493
2313311,010300,LINN,-1.599635361206196,0.7328373041056678,126,0.02116453045317551
2320677,2846,LINN,-1.6007569132043729,0.73239630452045,81,0.05863361207304219
2327233,010301,WOODBURY,-1.6819759642853949,0.7423686937759193,36,0.10188343580891708
2332228,010293,STORY,-1.6335381205282238,0.7362986129086088,6,0.02052965521466922
2393026,010182,POTTAWATTAMIE,-1.6654078508734242,0.719653356170593,2,4.880915894187495
2405966,010281,WAYNE,-1.628742951541348,0.7113427613929921,5,0.01603035448337468
2408576,010304,BENTON,-1.606153869622941,0.7359546260012398,6,0.08004128474293652
2449890,010310,WRIGHT,-1.631220627143398,0.7448087840790467,1,2.680256558680431
2473341,010315,FRANKLIN,-1.6269439309699207,0.7459879106669758,9,0.01566730449544872
2483670,010312,BREMER,-1.6074369658234773,0.7478259194853384,4,0.013216821453781861
2493448,010314,POLK,-1.6331211785614153,0.7274365687351098,68,0.11810622458805531
2502171,010291,BLACK HAWK,-1.6122032158216582,0.7417598184923213,85,0.2015305222150106
2523839,010316,DUBUQUE,-1.589552053519142,0.743559043145098,1,0.016390679757212808
2533327,010319,CLINTON,-1.5841155105373177,0.7300555880463966,1,4.03284067153982
2552993,010299,JASPER,-1.62748259642246,0.7277197613740422,5,0.06062368139989754
2554508,010307,MARION,-1.6250014186078263,0.7211868892989788,11,0.01600149944912434
2576789,010313,APPANOOSE,-1.6208597000202327,0.7106944414588594,8,0.47274179565241087
2581027,6281,JONES,-1.5945413561070356,0.7333865486445752,5,0.027647174054585815
2670810,010332,BLACK HAWK,-1.6135540144085303,0.7424200063512082,38,0.3828322641620212
2691165,010323,SCOTT,-1.5804112059305266,0.7252966160537433,84,0.02526770992374355
2698203,010336,CHICKASAW,-1.6112054390484676,0.7515257328363653,3,0.01870522975358298
2700707,010327,SIOUX,-1.6785779293227052,0.7515496772701727,6,0.1503461272081027
2702417,010320,FAYETTE,-1.6041861862969071,0.7447170342321178,8,0.019471418478762426
2711809,010337,LEE,-1.5950745370892934,0.7050078967470345,9,0.4515686210976537
2714938,010328,MAHASKA,-1.616720076333887,0.7207499983235399,12,0.014627715593014262
2732932,010334,POLK,-1.6370109417498035,0.7276060012148229,45,0.025774853957852225
2786700,010340,JOHNSON,-1.5988470531775099,0.7283963661140327,36,0.029190529667033834
2795498,010306,CASS,-1.6582973272980013,0.7226804899049443,7,0.1268440545993052
2817903,010333,WARREN,-1.6349187369832618,0.7241160162682991,23,0.09736870036602151
2830029,010282,HOWARD,-1.6153323464055096,0.7568375080244577,2,0.1985050190105001
2834452,010352,DALLAS,-1.641817875512475,0.7301463628476857,10,0.671503857645711
2836111,010350,MUSCATINE,-1.5890180533142404,0.7232565709405896,22,0.047968195315496974
2858238,010346,STORY,-1.6310105872224427,0.733438489555848,7,0.015655289546231986
2884269,010348,WARREN,-1.6328962578934443,0.7218053993585533,15,0.0627141690907803
2918032,010356,BENTON,-1.6034170366252471,0.7346925790125347,4,0.04088431632019388
2927243,010353,JACKSON,-1.5811811060588588,0.7357414693236662,0,6.710500204280481
2932986,010347,BUCHANAN,-1.6038702808470848,0.7412089047554238,10,0.11106448718923315
2953283,010294,HANCOCK,-1.6398676447982827,0.7503721452325017,1,0.026108838859779493
2957208,010345,STORY,-1.631150196423469,0.7334287684733402,7,0.24548213717062353
2959923,010362,CERRO GORDO,-1.6268166131977915,0.7530406489739524,23,0.03476223949840801
2969010,010339,WAYNE,-1.628687885844942,0.7113427087364085,5,0.1118838592455457
2978670,010123,GREENE,-1.647188183423719,0.7333099290569317,3,0.1399582972914611
2988743,010360,LYON,-1.6785870062914527,0.7580266183145872,5,0.05555957569340723
2988944,5790,SIOUX,-1.677903744551536,0.7537270698994417,1,0.09071588370643985
2990184,010361,BLACK HAWK,-1.6107249751428545,0.7413731407092754,62,0.02653876711967067
3010559,010349,POTTAWATTAMIE,-1.6732519708037132,0.7201501989963984,55,0.011085005907833788
3016513,010354,UNION,-1.6471323511437992,0.7164130299270586,11,5.43855720314e-12
3022857,010365,MITCHELL,-1.6193633776780183,0.7580823818285346,0,6.574729529250286
3032537,3826,CLARKE,-1.6370685207377857,0.7162696339724207,9,0.5398803929315081
3036628,010357,BUCHANAN,-1.606536393452554,0.7442028082934817,2,0.021273903604937177
3055622,010370,POLK,-1.63532235393719,0.7271965640939849,94,0.04927169460557413
3100383,010375,MAHASKA,-1.617069298286534,0.7237636234712801,1,0.02649475880413305
3113679,010378,FRANKLIN,-1.6266837831697394,0.7459807848017992,9,0.01851781216957216
3126608,010364,WINNESHIEK,-1.603340274880536,0.7536862907352545,3,0.15063412321277356
3130982,010374,DELAWARE,-1.593011628023312,0.7415041450182104,2,3.7155715131042197
3144821,4755,CERRO GORDO,-1.62700261300599,0.7530726934633651,23,0.06652596722344069
3145680,010366,BLACK HAWK,-1.6138123997752327,0.7424241971485416,35,0.09111340028897319
3153763,010338,WARREN,-1.6367156863375592,0.7240137796280128,6,0.007919388222437622
3154932,010381,LUCAS,-1.6285404720376464,0.7158604363107564,7,0.14515880939685902
3207108,010385,CLAYTON,-1.5923648968100377,0.7482037831811287,1,0.018016589539027534
3260320,010271,SCOTT,-1.58070789448498,0.7253407383961127,83,0.2703355793561691
3266086,010386,DUBUQUE,-1.5824556851399116,0.7418767202791006,51,0.013011309907788758
3273464,010388,BLACK HAWK,-1.6138000347981607,0.7412430960696297,40,0.16021870251976758
3288733,010330,CARROLL,-1.6569767233609747,0.7316021594475199,2,0.08493349376998739
3301868,010335,UNION,-1.6470230579977205,0.716451793602479,11,0.033508037585869156
3319515,010368,POWESHIEK,-1.6184049468919,0.7283978392766411,11,0.08085615597829567
3321795,010394,BLACK HAWK,-1.613644386160935,0.7401266613593663,5,0.0304675872706192
3330795,010387,STORY,-1.635017513979545,0.7332312145505872,38,0.07369100272073742
3344284,010390,DALLAS,-1.6387429871437813,0.7262262555569085,33,0.29560365397282123
3370172,010397,BLACK HAWK,-1.6119116591809777,0.7410365539804816,68,0.030223039424877956
3394661,010400,LINN,-1.5990542199374502,0.7356218618751205,1,0.025098516872466066
3395324,010399,BENTON,-1.6028047588746321,0.7309118615174435,3,0.031147261609362147
3430424,010389,LEE,-1.5950842069812943,0.7051846808851696,10,0.15178487446848118
3431720,010383,DUBUQUE,-1.589964248242745,0.7412121165801265,6,0.8003787836351817
3490139,010404,ADAIR,-1.6485263102046366,0.7209247409675024,2,0.21251840034993308
3500097,010408,LINN,-1.6004045679326695,0.7325960996379488,103,0.10103536062255805
3548584,010402,ALLAMAKEE,-1.5981805608577522,0.7519996123302957,1,0.5787696729594535
3556901,010405,SCOTT,-1.5818214662618582,0.7253818932075149,62,0.03136685287073761
3595640,010367,WARREN,-1.6367157370219207,0.7240117796377697,6,0.007919388222437622
3611616,010380,O'BRIEN,-1.672321825242331,0.7537284851345722,7,0.04395326040381296
3639982,010416,POLK,-1.6353084957087696,0.7269453415585325,111,0.23586206173176663
3644461,010417,POTTAWATTAMIE,-1.6733326756137235,0.7200794954291475,55,0.010822862439031897
3672797,010413,HUMBOLDT,-1.6401233350799143,0.7474644792505428,0,7.133712223741353
3672867,010409,WRIGHT,-1.6389532493149637,0.744659613248793,6,0.10585601508113007
3677183,010406,LINN,-1.5999960318031512,0.7338390710505942,73,0.01803629578637082
3686338,010410,GRUNDY,-1.620975747468343,0.7369679820371192,2,0.0258149090544307
3689687,010395,CERRO GORDO,-1.6266933631074707,0.7530783275258168,23,0.07602934944395277
3693716,010412,WEBSTER,-1.643161849582719,0.743764817935147,0,6.127919238684375
3784681,010396,CERRO GORDO,-1.6261504032374003,0.7530728851179703,23,0.10608336174591317
3789194,010419,CERRO GORDO,-1.6266737929051012,0.7530654849393952,23,0.07602934944395277
3802444,010411,POLK,-1.636663883464377,0.7270889642663468,97,0.015251253065159332
3853199,010429,STORY,-1.6332301045774857,0.7336280851960909,40,0.09034007784122085
3876313,010420,SIOUX,-1.6779341837220092,0.7537327663923208,1,0.09071588370643985
3897905,010403,HAMILTON,-1.6330295151082843,0.7412731678133888,1,0.0
3899880,010422,WEBSTER,-1.6431932130795641,0.7417839215241978,28,0.19578057191171191
3900231,010398,WEBSTER,-1.6439786450150826,0.7418013748690776,27,0.034303417011471174
3906052,010418,ALLAMAKEE,-1.592183661733244,0.7568103855206153,1,0.31107106807057333
3908548,010425,DES MOINES,-1.5907050699640082,0.7122335424668118,38,0.013037964611554473
3979121,010421,PLYMOUTH,-1.6785388528842828,0.7468711021241834,7,0.07685355389641702
3994000,010424,STORY,-1.6348922729048798,0.7334362815921711,39,0.1795573442382039
4000952,010428,BOONE,-1.6382401074684394,0.7340840694626813,15,0.6474890713043171
4011205,010433,SCOTT,-1.5826693136148888,0.7249674997181205,41,0.042311206985283734
4021002,010342,SHELBY,-1.6616703146217164,0.7294076345615937,0,6.902989737399913
4025172,010438,JOHNSON,-1.7035664733161262,0.6973863040274471,0,61.67430624114189
4033799,010423,DICKINSON,-1.6605625150675538,0.7566610135586186,17,0.5849729521626482
4034618,010431,O'BRIEN,-1.6663501544507353,0.7537234221089452,2,0.11883222608672458
4065673,010344,HARRISON,-1.6737822376446252,0.7252894250877855,4,0.1300214452207611
4065934,010437,MONONA,-1.6781314053166192,0.7352562325708675,0,7.037061101320544
4071719,010440,SIOUX,-1.680540674867939,0.7539879615764035,7,0.3513491837836712
4097282,010432,APPANOOSE,-1.6208605031683945,0.7111067400470059,8,0.16743243685774814
4112957,010435,DUBUQUE,-1.5870690967951218,0.7407784374468437,4,3.7717462052568043
4127960,010446,WASHINGTON,-1.6005457424496885,0.7207660033767532,9,0.019550342008229082
4146040,010450,CLAYTON,-1.5952933311105375,0.7479311281595413,3,0.06533886578653028
4162680,010434,LINN,-1.59911400647023,0.7326399315924373,104,4.037294569121598e-12
4163408,010444,WOODBURY,-1.6819323312809875,0.7400841972368659,15,0.3372533745852125
4169301,010426,CHICKASAW,-1.611211281503232,0.75152775785463,3,0.01870522975358298
4234237,010454,CASS,-1.6604925675420281,0.7196761498913713,2,0.022053087207058435
4248103,010452,SCOTT,-1.580877157039437,0.7270204258323928,12,0.03756057235828638
4253175,010453,CEDAR,-1.587821611611508,0.7285667521892891,0,8.042586918020929
4260591,010458,JOHNSON,-1.5973376406390127,0.7267819935932979,52,0.06119235854118998
4262156,010441,WOODBURY,-1.6821161323059408,0.7413572578116565,44,0.03321272692940705
4267395,010445,CLARKE,-1.6367063826854487,0.7161236193781331,9,0.20126588259583217
4272821,010464,DELAWARE,-1.5961817568799852,0.7414917533725074,7,0.022747424802012844
4288905,010451,SCOTT,-1.580664924199543,0.727004665072915,11,0.3681674525667066
4311192,9046,LYON,-1.677935840964494,0.7575604411855388,5,2.4973342670815115
4338244,010436,WARREN,-1.6349236535757645,0.7240916993288694,22,0.09736870036602151
4378550,010466,POLK,-1.6353447111860289,0.7271605405156771,97,0.11320500661469177
4388446,010455,BENTON,-1.6091703574597205,0.7331007686248397,1,0.038265331319019505
4391667,010456,DES MOINES,-1.5907234489966167,0.7123323977236585,38,0.10509253109362356
4399454,010264,WORTH,-1.6293329245775343,0.7582949454432283,1,0.2883830540333951
4404521,010475,DUBUQUE,-1.5822392289697471,0.7420286513475663,49,0.2330014176598363
4406995,010473,TAMA,-1.6159300176526945,0.7328499648113282,7,0.3062217657519355
4438721,010474,JONES,-1.594549908848689,0.7333894460831196,5,0.027647174054585815
4449761,010460,DES MOINES,-1.5912241839590138,0.7122988874020202,39,0.048607109922587356
4466074,010449,POLK,-1.6337777545835883,0.7283070473013122,46,0.3951110082104762
4466255,010443,POLK,-1.6338446006939396,0.7288638073326984,40,0.6561707559351235
4476834,010478,POLK,-1.6360102052298142,0.7268329422150778,115,0.03316684084165833
4477473,010479,STORY,-1.6329928800189664,0.7334390134338763,36,0.014389273503507374
4481423,010468,POLK,-1.63780492729964,0.7263175464869639,76,0.016968617095986082
4486397,010484,LINN,-1.5960273300605021,0.7339695935264825,4,0.00371126564792496
4489117,010471,DES MOINES,-1.5901361457033207,0.7122868446301814,36,0.35084448826271336
4536447,010483,DUBUQUE,-1.5902445306498694,0.7413881155120844,6,0.24906711108827254
4553076,010447,BREMER,-1.6074005935981979,0.7478292531165696,4,0.0729504805941171
4565581,010481,HAMILTON,-1.6378588579735267,0.7412491873036258,9,0.26166215099507883
4569523,010485,POLK,-1.636359271080213,0.7265905159819758,136,0.09681975041928144
4574370,010467,GUTHRIE,-1.646168545075197,0.724244444401445,5,0.017972825130984957
4580092,010457,DALLAS,-1.6386971396132595,0.7262925882786604,33,0.17923011477552653
4603470,010477,GRUNDY,-1.6161991474233517,0.738722823211364,2,0.0
4609060,010495,SCOTT,-1.5791056648307165,0.725614004265485,35,1.1569327008936634
4618536,010482,POLK,-1.6314817739525898,0.7268308478199754,39,0.42863021862926987
4654605,010486,STORY,-1.6331951636792728,0.7363149669753125,7,0.02765541470581942
4705389,010041,MARION,-1.6214503195438272,0.7225024312750294,7,0.15911163230935424
4723824,010499,LINN,-1.5985488072308585,0.7336194804785324,78,0.002566131620953268
4756096,010497,POLK,-1.63127634869963,0.726820026778613,37,0.026704668027435752
4769746,010494,POTTAWATTAMIE,-1.6650804092510318,0.7208745626816943,3,0.05493769016894149
4786220,010502,CALHOUN,-1.649933394804674,0.7422998755133263,1,0.8845899649272674
4803265,010500,STORY,-1.6340296055946513,0.7339798909690693,44,0.07320846574552227
4809542,010503,DICKINSON,-1.6609926736099359,0.7573489769886473,20,2.0428582077523227
4846439,010324,CRAWFORD,-1.6621555864905397,0.7311133622055939,0,6.902989737399913
4917022,010476,HENRY,-1.5998106802800505,0.7182124119736274,0,6.4057273638639085
4969077,6347,LEE,-1.5942526792770746,0.709059032711543,10,0.06167770916382035
4970414,010459,HENRY,-1.597694294029082,0.7179335083591587,0,5.381482630981451
4981358,010506,POTTAWATTAMIE,-1.67298587809794,0.7198898479177192,55,0.47415679027391694
5008876,010507,POLK,-1.633289236925955,0.7283711008848605,45,0.0
5014455,010508,STORY,-1.6338222604795143,0.7330567863276896,43,0.017458543524382163
5029165,010516,UNION,-1.6471246364394394,0.7164075669941401,11,0.0315964116825931
5034685,010512,MILLS,-1.6710503079574786,0.7163241402558947,8,0.031112826872300083
5039938,010519,POLK,-1.6309854023133228,0.7278541343604197,24,0.2846094257218404
5050567,010514,BUENA VISTA,-1.6612731480207314,0.744109432881794,13,0.10310480109489942
5056498,010524,BUENA VISTA,-1.6613581455553037,0.744304560692167,13,0.0
5063581,010521,POLK,-1.6336440623628856,0.7283047783732846,46,0.023767232536003095
5098022,010525,SCOTT,-1.5807246322448663,0.7262306290902145,46,2.4733429858386287
5100316,010523,LINN,-1.6009179171575156,0.7323357908136907,70,0.0
5117142,010522,WOODBURY,-1.6820221457672158,0.7411596519129984,44,0.8226448759891714
5130236,010504,POLK,-1.6040116877896007,0.7413277271199655,10,0.438910715104876
5190274,010505,CLAY,-1.7170903482958368,0.7090600799090944,0,61.67430624114189
5196512,010511,POLK,-1.636031847312539,0.7263206880796175,135,0.30515773475931235
5211052,010527,JACKSON,-1.5781361344312337,0.7374485583244829,5,0.00949239629188531
5220217,010529,BENTON,-1.6105594650113826,0.731234313522757,4,0.0
5250325,010513,WEBSTER,-1.6440327856695314,0.7419371960947619,27,0.5538660299482503
